Academic Year;ID Student;SBCoER Effectiveness;Exercise1 Effectiveness;Exercise2 Effectiveness;Exercise3 Effectiveness;Exercise4 Effectiveness;SBCoER Effectiveness Increase;Exercise1 Effectiveness Increase;Exercise 2 Effectiveness Increase;Exercise3 Effectiveness Increase;Exercise4 Effectiveness Increase;SBCoER Participation;Exercise1 Participation;Exercise2 Participation;Exercise3 Participation;Exercise4 Participation;SBCoER Dropout;Exercise1 Dropout;Exercise2 Dropout;Exercise3 Dropout;Exercise4 Dropout;SBCoER Active Time;Exercise1 Active Time;Exercise2 Active Time;Exercise3 Active Time;Exercise4 Active Time;SBCoER Number Executions;Exercise1 Number Executions;Exercise2 Number Executions;Exercise3 Number Executions;Exercise4 Number Executions
2022-2023;22-23Student069;90;100;100;100;45;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;11;6;2;2;1;69;30;32;5;2
2022-2023;22-23Student070;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;6;2;2;1;192;97;61;30;4
2022-2023;22-23Student071;97;100;100;100;82;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;11;6;2;2;1;51;17;26;6;2
2022-2023;22-23Student072;74;0;100;100;100;1;-2;1;1;1;0;0;1;1;1;0;0;0;0;0;12;6;2;2;2;105;37;17;27;24
2022-2023;22-23Student073;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;6;2;1;1;65;13;16;31;5
2022-2023;22-23Student074;66;100;70;73;0;0;1;0;1;;0;1;0;1;;1;0;0;0;1;10;6;1;2;1;114;66;14;32;2
2022-2023;22-23Student075;68;100;100;13;36;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;13;6;2;4;1;111;60;28;21;2
2022-2023;22-23Student076;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;5;2;2;2;56;12;16;25;3
2022-2023;22-23Student077;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;5;2;3;3;75;16;24;10;25
2022-2023;22-23Student078;100;100;100;100;100;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;13;7;3;2;1;97;38;43;14;2
2022-2023;22-23Student079;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;6;2;2;1;142;16;41;66;19
2022-2023;22-23Student080;100;100;100;100;100;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;12;5;2;4;1;217;87;64;40;26
2022-2023;22-23Student081;100;100;100;100;100;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;11;5;2;2;2;92;58;16;13;5
2022-2023;22-23Student082;100;100;100;100;100;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;14;6;2;5;1;147;22;71;52;2
2022-2023;22-23Student083;98;100;100;100;91;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;6;2;3;2;74;12;34;25;3
2022-2023;22-23Student084;63;100;40;27;100;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;10;6;1;1;2;104;35;15;2;52
2022-2023;22-23Student085;100;100;100;100;100;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;12;6;2;3;1;90;29;43;9;9
2022-2023;22-23Student086;98;100;100;100;91;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;5;2;4;2;53;12;22;14;5
2022-2023;22-23Student087;97;100;100;100;82;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;5;2;2;4;191;31;32;42;86
2022-2023;22-23Student088;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;5;2;5;1;163;37;57;49;20
2022-2023;22-23Student089;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;6;2;2;3;186;12;36;33;105
2022-2023;22-23Student090;100;100;100;100;100;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;11;5;3;2;1;71;12;34;23;2
2022-2023;22-23Student091;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;12;5;2;3;2;90;12;16;34;28
