Academic Year;ID Student;SBCoER Effectiveness;Exercise1 Effectiveness;Exercise2 Effectiveness;Exercise3 Effectiveness;Exercise4 Effectiveness;SBCoER Effectiveness Increase;Exercise1 Effectiveness Increase;Exercise 2 Effectiveness Increase;Exercise3 Effectiveness Increase;Exercise4 Effectiveness Increase;SBCoER Participation;Exercise1 Participation;Exercise2 Participation;Exercise3 Participation;Exercise4 Participation;SBCoER Dropout;Exercise1 Dropout;Exercise2 Dropout;Exercise3 Dropout;Exercise4 Dropout;SBCoER Active Time;Exercise1 Active Time;Exercise2 Active Time;Exercise3 Active Time;Exercise4 Active Time;SBCoER Number Executions;Exercise1 Number Executions;Exercise2 Number Executions;Exercise3 Number Executions;Exercise4 Number Executions
2021-2022;21-22Student078;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;8;2;2;2;2;180;23;22;50;85
2021-2022;21-22Student079;74;75;50;87;100;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;8;2;2;2;2;86;27;3;25;31
2021-2022;21-22Student080;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;5;1;1;1;2;99;2;20;42;35
2021-2022;21-22Student081;95;100;100;87;91;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;8;1;2;2;3;42;1;5;9;27
2021-2022;21-22Student082;50;50;55;20;82;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;5;1;1;1;2;11;1;1;1;8
2021-2022;21-22Student083;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;2;3;2;3;31;3;10;3;15
2021-2022;21-22Student084;84;63;80;100;100;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;9;1;3;3;2;99;1;40;54;4
2021-2022;21-22Student085;95;100;100;100;73;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;9;2;2;2;3;129;12;71;14;32
2021-2022;21-22Student086;100;100;100;100;100;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;10;3;3;2;2;56;10;34;10;2
2021-2022;21-22Student087;97;100;100;93;91;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;7;2;1;2;2;60;15;17;15;13
2021-2022;21-22Student088;84;56;95;87;100;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;7;1;2;2;2;18;1;2;5;10
2021-2022;21-22Student089;45;31;80;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;1;4;1;1;1;1
2021-2022;21-22Student090;34;75;10;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;1;4;1;1;1;1
2021-2022;21-22Student091;77;100;100;60;27;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;7;2;2;1;2;69;31;31;5;2
2021-2022;21-22Student092;26;100;0;0;0;0;1;0;0;;0;0;0;0;;1;0;0;0;1;4;1;1;1;1;4;1;1;1;1
2021-2022;21-22Student093;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;2;2;5;2;407;23;2;201;181
2021-2022;21-22Student094;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;4;2;2;2;105;9;22;50;24
2021-2022;21-22Student095;48;100;30;53;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;5;2;1;1;1;6;3;1;1;1
2021-2022;21-22Student096;68;0;95;80;100;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1;1;1;1;4;1;1;1;1
2021-2022;21-22Student097;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;2;3;3;2;325;47;178;77;23
2021-2022;21-22Student098;94;100;100;100;64;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;8;2;2;2;2;20;4;8;3;5
2021-2022;21-22Student099;81;100;85;80;45;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;6;2;2;1;1;15;2;11;1;1
2021-2022;21-22Student100;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;7;2;2;1;2;42;3;18;10;11
2022-2023;22-23Student001;97;100;100;87;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;5;4;2;2;80;13;33;21;13
2022-2023;22-23Student002;39;31;90;7;0;0;0;1;0;;0;0;1;0;;1;0;0;0;1;9;5;2;1;1;42;11;27;2;2
2022-2023;22-23Student003;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;12;6;2;2;2;52;20;20;9;3
2022-2023;22-23Student004;82;100;100;60;55;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;11;6;2;2;1;82;27;42;11;2
2022-2023;22-23Student005;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;5;3;2;3;202;42;81;28;51
2022-2023;22-23Student006;15;0;45;0;0;0;0;0;0;;0;0;0;0;;1;0;0;0;1;8;5;1;1;1;30;11;15;2;2
2022-2023;22-23Student007;95;100;100;80;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;16;6;3;2;5;83;13;24;12;34
2022-2023;22-23Student008;90;100;100;100;45;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;10;5;2;2;1;55;18;28;7;2
2022-2023;22-23Student009;77;100;60;87;64;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;13;6;2;2;3;169;46;17;77;29
2022-2023;22-23Student010;82;100;100;100;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;11;6;2;2;1;55;33;17;3;2
2022-2023;22-23Student011;82;100;100;100;0;0;1;1;1;;0;0;1;0;;1;0;0;0;1;10;5;3;1;1;58;11;43;2;2
2022-2023;22-23Student012;76;100;100;73;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;11;6;2;2;1;115;65;45;3;2
2022-2023;22-23Student013;56;81;70;53;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;9;5;2;1;1;31;11;16;2;2
2022-2023;22-23Student014;29;0;65;7;36;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;5;1;2;1;32;11;15;4;2
2022-2023;22-23Student015;89;100;100;100;36;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;11;6;2;2;1;55;31;17;5;2
2022-2023;22-23Student016;82;100;100;100;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;12;6;3;2;1;102;27;39;34;2
2022-2023;22-23Student017;60;81;70;40;36;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;8;5;1;1;1;31;12;15;2;2
2022-2023;22-23Student018;74;100;100;60;9;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;10;5;2;2;1;72;17;29;24;2
2022-2023;22-23Student019;97;100;100;93;91;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;5;2;2;2;65;13;20;21;11
2022-2023;22-23Student020;26;100;0;0;0;0;1;0;;;0;1;0;;;1;0;0;1;;9;6;1;1;1;40;21;15;2;2
2022-2023;22-23Student021;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;5;2;2;2;75;15;38;12;10
2022-2023;22-23Student022;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;5;3;1;2;118;12;34;43;29
2022-2023;22-23Student023;40;63;40;47;0;0;0;0;0;;0;0;1;0;;1;0;0;0;1;10;5;2;2;1;32;11;16;3;2
2022-2023;22-23Student024;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;12;5;2;3;2;235;43;45;89;58
2022-2023;22-23Student025;76;100;85;80;18;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;11;5;2;2;2;49;15;17;10;7
2022-2023;22-23Student026;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;6;2;1;1;39;15;18;3;3
2022-2023;22-23Student027;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;5;2;3;1;306;27;112;163;4
2022-2023;22-23Student028;58;100;100;0;0;0;1;1;0;;0;1;1;0;;1;0;0;0;1;9;5;2;1;1;35;12;19;2;2
2022-2023;22-23Student029;47;56;100;0;0;0;1;1;0;;0;1;1;0;;1;0;0;0;1;10;6;2;1;1;33;12;17;2;2
2022-2023;22-23Student030;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;5;2;2;2;102;16;18;23;45
